run,lead,threshold,tp,fp,fn,actual_frequency,forecast_frequency,recall,precision,csi
glstm_sweep_20260907_121609,all,10.0,64087,323805,17429,0.13979523589031229,0.6652123956028879,0.7861892143873596,0.1652186691140833,0.15811418604020025
glstm_sweep_20260907_121609,all,35.0,104,1442,14388,0.024852943698444548,0.0026513007837286277,0.0071763731714049135,0.06727037516170763,0.006526923559683696
glstm_sweep_20260907_121609,1,1.0,42555,72394,118,0.36590866217351786,0.985654507725815,0.9972347854615331,0.3702076573088935,0.3698280132444576
glstm_sweep_20260907_121609,1,10.0,10798,29051,5445,0.13927903826036253,0.3416936770077687,0.6647786738902912,0.27097292278350776,0.23839802181304368
glstm_sweep_20260907_121609,1,35.0,77,586,2817,0.024815214968016325,0.005685033698616042,0.026606772633033862,0.11613876319758673,0.022126436781609197
glstm_sweep_20260907_121609,2,1.0,42704,73918,0,0.3661744782288076,1.0,1.0,0.3661744782288076,0.3661744782288076
glstm_sweep_20260907_121609,2,10.0,12386,62479,3900,0.1396477508531838,0.6419457735247209,0.7605305170084735,0.1654444667067388,0.1572525868088618
glstm_sweep_20260907_121609,2,35.0,9,304,2887,0.024832364390938246,0.002683884687280273,0.003107734806629834,0.02875399361022364,0.0028125
glstm_sweep_20260907_121609,3,1.0,42749,73873,0,0.36656034024455075,1.0,1.0,0.36656034024455075,0.36656034024455075
glstm_sweep_20260907_121609,3,10.0,13455,74178,2860,0.13989641748555162,0.7514276894582498,0.8247011952191236,0.15353805073431243,0.14868553368768855
glstm_sweep_20260907_121609,3,35.0,12,319,2888,0.02486666323678208,0.002838229493577541,0.004137931034482759,0.03625377643504532,0.003727865796831314
glstm_sweep_20260907_121609,4,1.0,42766,73856,0,0.3667061103393871,1.0,1.0,0.3667061103393871,0.3667061103393871
glstm_sweep_20260907_121609,4,10.0,13703,78362,2628,0.14003361286892696,0.7894308106532215,0.8390790521094851,0.1488404931298539,0.14470974623256208
glstm_sweep_20260907_121609,4,35.0,6,216,2894,0.02486666323678208,0.001903585944332973,0.0020689655172413794,0.02702702702702703,0.0019255455712451862
glstm_sweep_20260907_121609,5,1.0,42792,73830,0,0.36692905283737204,1.0,1.0,0.36692905283737204,0.36692905283737204
glstm_sweep_20260907_121609,5,10.0,13745,79735,2596,0.14011935998353656,0.8015640273704789,0.8411357934030965,0.14703679931536157,0.14306382447229277
glstm_sweep_20260907_121609,5,35.0,0,17,2902,0.024883812659704,0.00014577009483630876,0.0,0.0,0.0
