run,lead,subset,n,rmse,mae,bias,r2,actual_mean,predicted_mean,actual_std,predicted_std,predicted_min,predicted_max,corr
glstm_sweep_20260907_121609,all,wet_gt_1,213684,14.477850414167728,10.391355329548176,1.3168774240896173,-0.07863676983396739,11.830313203085817,13.147190627175434,13.940118793116005,5.408774113693704,-0.1029268503189086,49.2646484375,0.10416432954065571
glstm_sweep_20260907_121609,all,heavy_gt_35,14492,40.51586731154089,36.770299820516804,-36.76410746656249,-5.089425200797973,51.274194885873015,14.510087419310526,16.418632800459527,5.773472379733686,0.477821946144104,49.2646484375,0.06840507960895112
glstm_sweep_20260907_121609,1,all,116622,11.083174954435188,7.905786849636934,4.478205677848332,-0.19468274774782546,4.407410271058054,8.885615948906386,10.139998547982739,6.76906757790067,-0.6199078559875488,49.2646484375,0.3340509729374151
glstm_sweep_20260907_121609,1,dry_le_1,73949,8.744267153199274,6.7904008537062195,6.789804250703954,-1409.3338680672753,0.13293212312145034,6.922736373825404,0.23284260529106435,5.553560314818641,-0.6199078559875488,48.357513427734375,0.2070525511104147
glstm_sweep_20260907_121609,1,wet_gt_1,42673,14.254833630342267,9.83866429001095,0.4723845997872537,-0.04541532593202313,11.814749444815792,12.287134044603045,13.941763831394631,7.31637307705823,-0.1029268503189086,49.2646484375,0.22021359672506496
glstm_sweep_20260907_121609,1,heavy_gt_35,2894,39.18155810662292,35.111929918023414,-35.084340630169976,-4.691363218237902,51.28706069608845,16.202720065918477,16.423796335266896,8.038020099948584,0.477821946144104,49.2646484375,0.11387857205443193
glstm_sweep_20260907_121609,2,all,116622,13.658307074776877,11.474397812838072,8.193530678346344,-0.8120299385208241,4.415427355926493,12.608958034272836,10.146451602036866,5.3851347971311165,4.047330379486084,40.83317565917969,0.11470303371114418
glstm_sweep_20260907_121609,2,dry_le_1,73918,13.031975576235837,11.932426582396445,11.932426582396445,-3132.9545918889735,0.13286875047680877,12.065295332873253,0.23278977874773069,5.2489862518724015,4.047330379486084,39.4053955078125,0.06402453270663351
glstm_sweep_20260907_121609,2,wet_gt_1,42704,14.679420659575433,10.681578156875734,1.7217316095102766,-0.10868405963736283,11.828273154859374,13.550004764369652,13.941355903585903,5.4871288919196335,4.36930513381958,40.83317565917969,0.07809978118229802
glstm_sweep_20260907_121609,2,heavy_gt_35,2896,40.363160196509114,36.64275631522605,-36.63987569716754,-5.040645999566575,51.27695828116401,14.637082583996472,16.422658756209945,5.643928700302466,4.862557888031006,39.94012069702149,0.08012575176015373
glstm_sweep_20260907_121609,3,all,116622,14.155592595276419,12.128917577734404,8.900411528664062,-0.9442566208898244,4.4219171856184465,13.32232871428251,10.151991878695256,4.989753470613261,5.791102886199951,42.73420715332031,0.06709087720149913
glstm_sweep_20260907_121609,3,dry_le_1,73873,13.862734524070824,12.95903674627947,12.95903674627947,-3547.2222247188124,0.13283363668021356,13.091870382959684,0.23272524733013944,4.918995820717881,5.809634208679199,41.52022552490234,0.005200077108539854
glstm_sweep_20260907_121609,3,wet_gt_1,42749,14.647875097146807,10.694418680966535,1.8868481540610775,-0.10402367776618715,11.833727263297785,13.720575417358862,13.94072737484442,5.085158775216297,5.791102886199951,42.73420715332031,0.06490735770660304
glstm_sweep_20260907_121609,3,heavy_gt_35,2900,40.51846189568298,36.80117121285406,-36.800635376798695,-5.091754870190591,51.271329908699826,14.47069453190113,16.416544239045663,5.181686500460052,6.186347007751465,38.379371643066406,0.05227631319108427
glstm_sweep_20260907_121609,4,all,116622,14.0617153208074,12.094542658598254,8.804689989086532,-0.9178153236936393,4.425001903590262,13.229691892676794,10.153947397315038,4.608851401041776,5.862815380096436,41.89752197265625,0.04417799863139827
glstm_sweep_20260907_121609,4,dry_le_1,73856,13.792909175320023,12.993321142044802,12.993321142044802,-3514.4177847067745,0.13273887568681245,13.126060017731616,0.2326309014983144,4.6194501931389,5.862815380096436,41.89752197265625,-0.011404886636982262
glstm_sweep_20260907_121609,4,wet_gt_1,42766,14.514220127281023,10.542370753967745,1.5710103736704037,-0.08420788569517246,11.837651629747423,13.408662003417827,13.93918636554045,4.584977651139213,6.1691999435424805,41.61950302124024,0.05576849156107225
glstm_sweep_20260907_121609,4,heavy_gt_35,2900,40.874352850220234,37.27220535689387,-37.27220535689387,-5.1992378096020655,51.271329908699826,13.999124551805957,16.416544239045663,4.789871475712,7.053118705749512,38.0675163269043,0.06962945374592783
glstm_sweep_20260907_121609,5,all,116622,13.573500985202145,11.678189015204904,8.27764566925029,-0.7864045019170967,4.427422892139428,12.70506856138972,10.155515574357501,3.8824308233940936,6.426065921783447,37.42304229736328,0.031541658731473576
glstm_sweep_20260907_121609,5,dry_le_1,73830,13.141931598313674,12.535413162775775,12.535413162775775,-3189.973971318268,0.13274633995840482,12.668159502734179,0.2326470615717499,3.933608366376032,6.587302207946777,37.42304229736328,-0.02534225087383632
glstm_sweep_20260907_121609,5,wet_gt_1,42792,14.287482042002905,10.199200914271147,0.9316236546918106,-0.05084398884913344,11.83712493568787,12.76874859037968,13.937554396734487,3.791665172953208,6.426065921783447,35.58717727661133,0.050787874849969564
glstm_sweep_20260907_121609,5,heavy_gt_35,2902,41.59977659974577,38.018968116818094,-38.018968116818094,-5.423515374941528,51.26433286660298,13.245364749784883,16.41362906142529,3.967975582301075,7.238731384277344,32.11478042602539,0.00040360518418150855
